--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,19/05/2021 3:05:22 p.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,19/05/2021 2:13:19 p.m.
Revised By,c.young
Revision No.,2
Start time of part program,19/05/2021 2:48:06 p.m.
End time of part program,19/05/2021 3:00:40 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_8>,1.800µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Outer(VERT)<LN_8>,Gaussian-50%Low[0.25 mm],2.4995 mm,269.55 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,276,3.8475,0.3809,0.1907,0.5664,0
1,277,3.8515,0.4914,0.1844,0.5602,0
1,278,3.8555,0.5694,0.1779,0.5539,0
1,279,3.8595,0.6006,0.1713,0.5475,0
1,280,3.8635,0.5889,0.1645,0.5408,0
1,281,3.8675,0.5564,0.1574,0.5338,0
1,282,3.8715,0.5330,0.1501,0.5267,0
1,283,3.8755,0.5278,0.1425,0.5193,0
1,284,3.8795,0.5174,0.1349,0.5118,0
1,285,3.8835,0.4706,0.1272,0.5043,0
1,286,3.8875,0.3848,0.1195,0.4968,0
1,287,3.8915,0.2769,0.1119,0.4894,0
1,288,3.8955,0.1534,0.1047,0.4823,0
1,289,3.8995,0.0052,0.0978,0.4756,0
1,290,3.9035,-0.1521,0.0915,0.4694,0
1,291,3.9075,-0.2912,0.0858,0.4639,0
1,292,3.9115,-0.4134,0.0808,0.4591,0
1,293,3.9155,-0.5551,0.0767,0.4551,0
1,294,3.9195,-0.6981,0.0734,0.4519,0
1,295,3.9235,-0.7475,0.0709,0.4496,0
1,296,3.9275,-0.6344,0.0693,0.4482,0
1,297,3.9315,-0.4043,0.0684,0.4475,0
1,298,3.9355,-0.1716,0.0683,0.4475,0
1,299,3.9395,0.0026,0.0688,0.4482,0
1,300,3.9435,0.1443,0.0698,0.4493,0
1,301,3.9475,0.2795,0.0711,0.4509,0
1,302,3.9515,0.4004,0.0728,0.4526,0
1,303,3.9555,0.4823,0.0745,0.4545,0
1,304,3.9595,0.5187,0.0763,0.4565,0
1,305,3.9635,0.5200,0.0779,0.4583,0
1,306,3.9675,0.5018,0.0795,0.4600,0
1,307,3.9715,0.4771,0.0808,0.4615,0
1,308,3.9755,0.4615,0.0820,0.4628,0
1,309,3.9795,0.4511,0.0830,0.4640,0
1,310,3.9835,0.4264,0.0838,0.4650,0
1,311,3.9875,0.3666,0.0846,0.4660,0
1,312,3.9915,0.2678,0.0854,0.4669,0
1,313,3.9955,0.1391,0.0864,0.4680,0
1,314,3.9995,-0.0026,0.0875,0.4693,0
1,315,4.0035,-0.1391,0.0890,0.4710,0
1,316,4.0075,-0.2704,0.0909,0.4730,0
1,317,4.0115,-0.4173,0.0933,0.4756,0
1,318,4.0155,-0.5798,0.0962,0.4787,0
1,319,4.0195,-0.6955,0.0998,0.4824,0
1,320,4.0235,-0.6682,0.1039,0.4867,0
1,321,4.0275,-0.4927,0.1086,0.4916,0
1,322,4.0315,-0.2574,0.1138,0.4969,0
1,323,4.0355,-0.0572,0.1195,0.5028,0
1,324,4.0395,0.0962,0.1255,0.5089,0
1,325,4.0435,0.2418,0.1317,0.5153,0
1,326,4.0475,0.3861,0.1381,0.5219,0
1,327,4.0515,0.5070,0.1445,0.5284,0
1,328,4.0555,0.5824,0.1508,0.5349,0
1,329,4.0595,0.6097,0.1569,0.5412,0
1,330,4.0635,0.6019,0.1627,0.5472,0
1,331,4.0675,0.5824,0.1682,0.5528,0
1,332,4.0715,0.5694,0.1734,0.5581,0
1,333,4.0755,0.5629,0.1782,0.5631,0
1,334,4.0795,0.5447,0.1826,0.5677,0
1,335,4.0835,0.5057,0.1867,0.5720,0
1,336,4.0875,0.4472,0.1906,0.5760,0
1,337,4.0915,0.3653,0.1943,0.5799,0
1,338,4.0955,0.2457,0.1980,0.5837,0
1,339,4.0995,0.0910,0.2016,0.5875,0
1,340,4.1035,-0.0572,0.2053,0.5913,0
1,341,4.1075,-0.1872,0.2091,0.5953,0
1,342,4.1115,-0.3302,0.2130,0.5994,0
1,343,4.1155,-0.4901,0.2172,0.6037,0
1,344,4.1195,-0.5811,0.2215,0.6082,0
1,345,4.1235,-0.5005,0.2259,0.6128,0
1,346,4.1275,-0.2717,0.2303,0.6174,0
1,347,4.1315,-0.0234,0.2347,0.6219,0
1,348,4.1355,0.1625,0.2389,0.6262,0
1,349,4.1395,0.3042,0.2427,0.6302,0
1,350,4.1435,0.4407,0.2460,0.6337,0
1,351,4.1475,0.5746,0.2487,0.6366,0
1,352,4.1515,0.6812,0.2506,0.6386,0
1,353,4.1555,0.7553,0.2516,0.6397,0
1,354,4.1595,0.7904,0.2514,0.6398,0
1,355,4.1635,0.7813,0.2502,0.6387,0
1,356,4.1675,0.7436,0.2478,0.6364,0
1,357,4.1715,0.7098,0.2441,0.6329,0
1,358,4.1755,0.6981,0.2393,0.6283,0
1,359,4.1795,0.6864,0.2334,0.6225,0
1,360,4.1835,0.6331,0.2265,0.6158,0
1,361,4.1875,0.5343,0.2187,0.6081,0
1,362,4.1915,0.4225,0.2101,0.5997,0
1,363,4.1955,0.3159,0.2010,0.5908,0
1,364,4.1995,0.1898,0.1915,0.5814,0
1,365,4.2035,0.0325,0.1818,0.5719,0
1,366,4.2075,-0.1287,0.1721,0.5624,0
1,367,4.2115,-0.2730,0.1625,0.5529,0
1,368,4.2155,-0.4225,0.1532,0.5438,0
1,369,4.2195,-0.5837,0.1442,0.5350,0
1,370,4.2235,-0.6825,0.1357,0.5266,0
1,371,4.2275,-0.6240,0.1276,0.5186,0
1,372,4.2315,-0.4160,0.1199,0.5112,0
1,373,4.2355,-0.1703,0.1127,0.5041,0
1,374,4.2395,0.0156,0.1059,0.4974,0
1,375,4.2435,0.1430,0.0993,0.4910,0
1,376,4.2475,0.2561,0.0928,0.4847,0
1,377,4.2515,0.3692,0.0864,0.4784,0
1,378,4.2555,0.4615,0.0799,0.4721,0
1,379,4.2595,0.5057,0.0732,0.4656,0
1,380,4.2635,0.5031,0.0662,0.4587,0
1,381,4.2675,0.4758,0.0588,0.4515,0
1,382,4.2715,0.4485,0.0510,0.4438,0
1,383,4.2755,0.4381,0.0427,0.4357,0
1,384,4.2795,0.4355,0.0339,0.4271,0
1,385,4.2835,0.4134,0.0247,0.4180,0
1,386,4.2875,0.3510,0.0150,0.4085,0
1,387,4.2915,0.2561,0.0051,0.3988,0
1,388,4.2955,0.1404,-0.0050,0.3888,0
1,389,4.2995,0.0013,-0.0153,0.3787,0
1,390,4.3035,-0.1586,-0.0256,0.3686,0
1,391,4.3075,-0.3133,-0.0358,0.3585,0
1,392,4.3115,-0.4498,-0.0458,0.3487,0
1,393,4.3155,-0.5954,-0.0555,0.3392,0
1,394,4.3195,-0.7514,-0.0648,0.3300,0
1,395,4.3235,-0.8359,-0.0738,0.3212,0
1,396,4.3275,-0.7566,-0.0824,0.3128,0
1,397,4.3315,-0.5447,-0.0905,0.3048,0
1,398,4.3355,-0.3224,-0.0983,0.2972,0
1,399,4.3395,-0.1664,-0.1057,0.2899,0
1,400,4.3435,-0.0533,-0.1129,0.2829,0
1,401,4.3475,0.0624,-0.1199,0.2761,0
1,402,4.3515,0.1729,-0.1267,0.2694,0
1,403,4.3555,0.2405,-0.1335,0.2628,0
1,404,4.3595,0.2561,-0.1402,0.2562,0
1,405,4.3635,0.2392,-0.1470,0.2496,0
1,406,4.3675,0.2184,-0.1538,0.2430,0
1,407,4.3715,0.2054,-0.1607,0.2363,0
1,408,4.3755,0.1989,-0.1676,0.2295,0
1,409,4.3795,0.1794,-0.1745,0.2228,0
1,410,4.3835,0.1313,-0.1813,0.2161,0
1,411,4.3875,0.0546,-0.1879,0.2096,0
1,412,4.3915,-0.0403,-0.1944,0.2034,0
1,413,4.3955,-0.1638,-0.2004,0.1975,0
1,414,4.3995,-0.3133,-0.2061,0.1920,0
1,415,4.4035,-0.4667,-0.2112,0.1870,0
