--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,19/05/2021 3:05:06 p.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,19/05/2021 2:13:19 p.m.
Revised By,c.young
Revision No.,2
Start time of part program,19/05/2021 2:48:06 p.m.
End time of part program,19/05/2021 3:00:40 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_7>,1.079µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_7>,Gaussian-50%Low[0.25 mm],2.5005 mm,359.50 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,275,3.8445,0.9646,1.4778,-0.0056,0
1,276,3.8485,1.0244,1.4902,0.0062,0
1,277,3.8525,1.0998,1.5035,0.0189,0
1,278,3.8565,1.2025,1.5175,0.0324,0
1,279,3.8605,1.3364,1.5321,0.0464,0
1,280,3.8645,1.4898,1.5470,0.0607,0
1,281,3.8685,1.6445,1.5621,0.0753,0
1,282,3.8725,1.8031,1.5773,0.0899,0
1,283,3.8765,2.0085,1.5922,0.1042,0
1,284,3.8805,2.2698,1.6068,0.1183,0
1,285,3.8845,2.4999,1.6209,0.1318,0
1,286,3.8885,2.5649,1.6344,0.1447,0
1,287,3.8925,2.4284,1.6471,0.1569,0
1,288,3.8965,2.1970,1.6591,0.1683,0
1,289,3.9005,1.9942,1.6703,0.1789,0
1,290,3.9045,1.8486,1.6808,0.1888,0
1,291,3.9085,1.7238,1.6904,0.1979,0
1,292,3.9125,1.6003,1.6994,0.2063,0
1,293,3.9165,1.4898,1.7076,0.2140,0
1,294,3.9205,1.4014,1.7153,0.2210,0
1,295,3.9245,1.3442,1.7224,0.2276,0
1,296,3.9285,1.3169,1.7290,0.2336,0
1,297,3.9325,1.3065,1.7351,0.2391,0
1,298,3.9365,1.3052,1.7407,0.2442,0
1,299,3.9405,1.3299,1.7459,0.2488,0
1,300,3.9445,1.3897,1.7505,0.2528,0
1,301,3.9485,1.4651,1.7546,0.2564,0
1,302,3.9525,1.5392,1.7581,0.2592,0
1,303,3.9565,1.6302,1.7608,0.2614,0
1,304,3.9605,1.7537,1.7627,0.2627,0
1,305,3.9645,1.8863,1.7637,0.2632,0
1,306,3.9685,2.0085,1.7638,0.2627,0
1,307,3.9725,2.1697,1.7628,0.2611,0
1,308,3.9765,2.4141,1.7607,0.2584,0
1,309,3.9805,2.6546,1.7574,0.2546,0
1,310,3.9845,2.7209,1.7531,0.2497,0
1,311,3.9885,2.5571,1.7476,0.2436,0
1,312,3.9925,2.2906,1.7411,0.2365,0
1,313,3.9965,2.0683,1.7336,0.2285,0
1,314,4.0005,1.9097,1.7253,0.2196,0
1,315,4.0045,1.7589,1.7162,0.2099,0
1,316,4.0085,1.6029,1.7066,0.1998,0
1,317,4.0125,1.4664,1.6965,0.1891,0
1,318,4.0165,1.3598,1.6862,0.1782,0
1,319,4.0205,1.2727,1.6757,0.1672,0
1,320,4.0245,1.2051,1.6653,0.1561,0
1,321,4.0285,1.1713,1.6549,0.1452,0
1,322,4.0325,1.1609,1.6447,0.1344,0
1,323,4.0365,1.1596,1.6347,0.1239,0
1,324,4.0405,1.1752,1.6250,0.1136,0
1,325,4.0445,1.2259,1.6155,0.1035,0
1,326,4.0485,1.3052,1.6062,0.0936,0
1,327,4.0525,1.3871,1.5970,0.0839,0
1,328,4.0565,1.4677,1.5880,0.0743,0
1,329,4.0605,1.5613,1.5790,0.0647,0
1,330,4.0645,1.6666,1.5699,0.0551,0
1,331,4.0685,1.7823,1.5608,0.0454,0
1,332,4.0725,1.9474,1.5515,0.0355,0
1,333,4.0765,2.1723,1.5421,0.0255,0
1,334,4.0805,2.3673,1.5325,0.0154,0
1,335,4.0845,2.3933,1.5228,0.0052,0
1,336,4.0885,2.2191,1.5132,-0.0051,0
1,337,4.0925,1.9643,1.5037,-0.0151,0
1,338,4.0965,1.7498,1.4945,-0.0249,0
1,339,4.1005,1.5899,1.4857,-0.0343,0
1,340,4.1045,1.4391,1.4776,-0.0429,0
1,341,4.1085,1.2818,1.4704,-0.0507,0
1,342,4.1125,1.1375,1.4643,-0.0573,0
1,343,4.1165,1.0231,1.4596,-0.0627,0
1,344,4.1205,0.9360,1.4564,-0.0664,0
1,345,4.1245,0.8749,1.4549,-0.0685,0
1,346,4.1285,0.8372,1.4552,-0.0688,0
1,347,4.1325,0.8229,1.4574,-0.0671,0
1,348,4.1365,0.8307,1.4617,-0.0634,0
1,349,4.1405,0.8606,1.4679,-0.0578,0
1,350,4.1445,0.9126,1.4760,-0.0503,0
1,351,4.1485,0.9828,1.4859,-0.0409,0
1,352,4.1525,1.0608,1.4974,-0.0300,0
1,353,4.1565,1.1427,1.5104,-0.0175,0
1,354,4.1605,1.2402,1.5247,-0.0039,0
1,355,4.1645,1.3728,1.5398,0.0107,0
1,356,4.1685,1.5353,1.5557,0.0260,0
1,357,4.1725,1.7160,1.5719,0.0416,0
1,358,4.1765,1.9279,1.5883,0.0574,0
1,359,4.1805,2.1931,1.6045,0.0731,0
1,360,4.1845,2.4557,1.6203,0.0884,0
1,361,4.1885,2.5831,1.6356,0.1030,0
1,362,4.1925,2.5064,1.6500,0.1169,0
1,363,4.1965,2.3049,1.6635,0.1298,0
1,364,4.2005,2.1060,1.6759,0.1416,0
1,365,4.2045,1.9513,1.6871,0.1523,0
1,366,4.2085,1.8083,1.6972,0.1618,0
1,367,4.2125,1.6666,1.7060,0.1700,0
1,368,4.2165,1.5522,1.7135,0.1769,0
1,369,4.2205,1.4742,1.7197,0.1826,0
1,370,4.2245,1.4209,1.7246,0.1870,0
1,371,4.2285,1.3884,1.7283,0.1901,0
1,372,4.2325,1.3754,1.7307,0.1919,0
1,373,4.2365,1.3806,1.7319,0.1925,0
1,374,4.2405,1.4066,1.7317,0.1918,0
1,375,4.2445,1.4573,1.7303,0.1898,0
1,376,4.2485,1.5210,1.7275,0.1864,0
1,377,4.2525,1.5873,1.7234,0.1817,0
1,378,4.2565,1.6666,1.7178,0.1756,0
1,379,4.2605,1.7758,1.7108,0.1680,0
1,380,4.2645,1.9032,1.7024,0.1590,0
1,381,4.2685,2.0475,1.6925,0.1485,0
1,382,4.2725,2.2334,1.6812,0.1367,0
1,383,4.2765,2.4492,1.6685,0.1234,0
1,384,4.2805,2.5922,1.6545,0.1088,0
1,385,4.2845,2.5480,1.6393,0.0930,0
1,386,4.2885,2.3270,1.6230,0.0761,0
1,387,4.2925,2.0579,1.6058,0.0584,0
1,388,4.2965,1.8408,1.5879,0.0399,0
1,389,4.3005,1.6679,1.5695,0.0210,0
1,390,4.3045,1.5041,1.5509,0.0018,0
1,391,4.3085,1.3468,1.5323,-0.0174,0
1,392,4.3125,1.2090,1.5140,-0.0363,0
1,393,4.3165,1.0894,1.4961,-0.0547,0
1,394,4.3205,0.9867,1.4790,-0.0724,0
1,395,4.3245,0.9152,1.4627,-0.0893,0
1,396,4.3285,0.8814,1.4475,-0.1051,0
1,397,4.3325,0.8710,1.4334,-0.1197,0
1,398,4.3365,0.8710,1.4207,-0.1330,0
1,399,4.3405,0.8866,1.4092,-0.1450,0
1,400,4.3445,0.9295,1.3991,-0.1558,0
1,401,4.3485,0.9906,1.3902,-0.1652,0
1,402,4.3525,1.0491,1.3825,-0.1735,0
1,403,4.3565,1.1180,1.3759,-0.1807,0
1,404,4.3605,1.2207,1.3703,-0.1868,0
1,405,4.3645,1.3533,1.3655,-0.1921,0
1,406,4.3685,1.4807,1.3616,-0.1967,0
1,407,4.3725,1.6185,1.3582,-0.2006,0
1,408,4.3765,1.8213,1.3554,-0.2040,0
1,409,4.3805,2.0605,1.3530,-0.2069,0
1,410,4.3845,2.1957,1.3511,-0.2095,0
1,411,4.3885,2.1190,1.3496,-0.2116,0
1,412,4.3925,1.8941,1.3485,-0.2132,0
1,413,4.3965,1.6731,1.3478,-0.2144,0
1,414,4.4005,1.5119,1.3478,-0.2151,0
1,415,4.4045,1.3637,1.3484,-0.2150,0
1,416,4.4085,1.2012,1.3498,-0.2142,0
1,417,4.4125,1.0556,1.3521,-0.2125,0
1,418,4.4165,0.9568,1.3555,-0.2097,0
1,419,4.4205,0.8931,1.3600,-0.2057,0
1,420,4.4245,0.8476,1.3658,-0.2005,0
1,421,4.4285,0.8190,1.3729,-0.1939,0
1,422,4.4325,0.8125,1.3815,-0.1859,0
1,423,4.4365,0.8268,1.3914,-0.1766,0
1,424,4.4405,0.8580,1.4026,-0.1659,0
1,425,4.4445,0.9087,1.4152,-0.1539,0
1,426,4.4485,0.9776,1.4289,-0.1408,0
1,427,4.4525,1.0608,1.4436,-0.1267,0
1,428,4.4565,1.1531,1.4591,-0.1117,0
1,429,4.4605,1.2636,1.4752,-0.0962,0
1,430,4.4645,1.4053,1.4917,-0.0803,0
1,431,4.4685,1.5743,1.5084,-0.0642,0
1,432,4.4725,1.7498,1.5249,-0.0482,0
1,433,4.4765,1.9448,1.5411,-0.0326,0
1,434,4.4805,2.1905,1.5568,-0.0174,0
1,435,4.4845,2.4427,1.5719,-0.0029,0
1,436,4.4885,2.5636,1.5861,0.0107,0
1,437,4.4925,2.4674,1.5993,0.0234,0
1,438,4.4965,2.2321,1.6116,0.0350,0
1,439,4.5005,2.0098,1.6227,0.0456,0
1,440,4.5045,1.8577,1.6328,0.0552,0
1,441,4.5085,1.7277,1.6419,0.0636,0
1,442,4.5125,1.5847,1.6499,0.0711,0
1,443,4.5165,1.4521,1.6569,0.0775,0
1,444,4.5205,1.3559,1.6630,0.0831,0
1,445,4.5245,1.2987,1.6683,0.0877,0
1,446,4.5285,1.2688,1.6727,0.0916,0
1,447,4.5325,1.2584,1.6763,0.0946,0
1,448,4.5365,1.2597,1.6792,0.0969,0
1,449,4.5405,1.2805,1.6813,0.0985,0
1,450,4.5445,1.3299,1.6826,0.0992,0
1,451,4.5485,1.4027,1.6831,0.0991,0
1,452,4.5525,1.4755,1.6827,0.0982,0
1,453,4.5565,1.5548,1.6814,0.0963,0
1,454,4.5605,1.6666,1.6791,0.0934,0
1,455,4.5645,1.8057,1.6757,0.0895,0
1,456,4.5685,1.9422,1.6713,0.0844,0
1,457,4.5725,2.1021,1.6657,0.0783,0
1,458,4.5765,2.3257,1.6589,0.0709,0
1,459,4.5805,2.5584,1.6510,0.0625,0
1,460,4.5845,2.6390,1.6420,0.0529,0
1,461,4.5885,2.4882,1.6321,0.0424,0
1,462,4.5925,2.2087,1.6213,0.0310,0
1,463,4.5965,1.9617,1.6097,0.0189,0
1,464,4.6005,1.7875,1.5977,0.0063,0
1,465,4.6045,1.6302,1.5853,-0.0066,0
1,466,4.6085,1.4599,1.5729,-0.0196,0
1,467,4.6125,1.3013,1.5606,-0.0325,0
1,468,4.6165,1.1739,1.5487,-0.0450,0
1,469,4.6205,1.0738,1.5374,-0.0568,0
1,470,4.6245,0.9984,1.5269,-0.0679,0
1,471,4.6285,0.9529,1.5174,-0.0780,0
1,472,4.6325,0.9308,1.5089,-0.0870,0
1,473,4.6365,0.9230,1.5017,-0.0949,0
1,474,4.6405,0.9360,1.4957,-0.1014,0
1,475,4.6445,0.9789,1.4909,-0.1068,0
1,476,4.6485,1.0452,1.4874,-0.1109,0
1,477,4.6525,1.1141,1.4849,-0.1139,0
1,478,4.6565,1.1843,1.4836,-0.1158,0
1,479,4.6605,1.2792,1.4831,-0.1169,0
1,480,4.6645,1.4079,1.4833,-0.1172,0
1,481,4.6685,1.5483,1.4842,-0.1169,0
1,482,4.6725,1.6848,1.4855,-0.1162,0
