--------------------------------------------------------------
Output text data of Measurement
,12/05/2021 5:11:43 p.m.
Title,
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,
Revised By,c.young
Revision No.,0
Start time of part program,12/05/2021 4:55:30 p.m.
End time of part program,12/05/2021 5:10:12 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_2>,1.828µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_2>,Gaussian-50%Low[0.25 mm],2.5025 mm,180.02 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,221,3.6305,1.2480,0.9273,-0.4798,0
1,222,3.6345,1.4703,0.9239,-0.4837,0
1,223,3.6385,1.7056,0.9201,-0.4881,0
1,224,3.6425,1.8395,0.9159,-0.4929,0
1,225,3.6465,1.7823,0.9112,-0.4980,0
1,226,3.6505,1.5587,0.9064,-0.5034,0
1,227,3.6545,1.2974,0.9013,-0.5090,0
1,228,3.6585,1.0907,0.8961,-0.5147,0
1,229,3.6625,0.9308,0.8911,-0.5203,0
1,230,3.6665,0.7644,0.8864,-0.5255,0
1,231,3.6705,0.6032,0.8821,-0.5303,0
1,232,3.6745,0.4914,0.8785,-0.5345,0
1,233,3.6785,0.4303,0.8758,-0.5378,0
1,234,3.6825,0.3796,0.8740,-0.5401,0
1,235,3.6865,0.3263,0.8733,-0.5413,0
1,236,3.6905,0.3068,0.8739,-0.5412,0
1,237,3.6945,0.3224,0.8757,-0.5399,0
1,238,3.6985,0.3354,0.8788,-0.5374,0
1,239,3.7025,0.3367,0.8832,-0.5335,0
1,240,3.7065,0.3809,0.8887,-0.5285,0
1,241,3.7105,0.4888,0.8953,-0.5224,0
1,242,3.7145,0.6136,0.9029,-0.5154,0
1,243,3.7185,0.7098,0.9112,-0.5077,0
1,244,3.7225,0.8008,0.9201,-0.4993,0
1,245,3.7265,0.9269,0.9294,-0.4906,0
1,246,3.7305,1.0894,0.9388,-0.4816,0
1,247,3.7345,1.2909,0.9483,-0.4727,0
1,248,3.7385,1.5483,0.9577,-0.4639,0
1,249,3.7425,1.8213,0.9667,-0.4553,0
1,250,3.7465,1.9682,0.9754,-0.4472,0
1,251,3.7505,1.8811,0.9836,-0.4395,0
1,252,3.7545,1.6263,0.9913,-0.4323,0
1,253,3.7585,1.3728,0.9986,-0.4256,0
1,254,3.7625,1.1973,1.0053,-0.4194,0
1,255,3.7665,1.0530,1.0117,-0.4136,0
1,256,3.7705,0.8983,1.0177,-0.4081,0
1,257,3.7745,0.7696,1.0235,-0.4028,0
1,258,3.7785,0.7007,1.0292,-0.3977,0
1,259,3.7825,0.6513,1.0347,-0.3927,0
1,260,3.7865,0.5850,1.0402,-0.3877,0
1,261,3.7905,0.5291,1.0458,-0.3827,0
1,262,3.7945,0.5291,1.0515,-0.3775,0
1,263,3.7985,0.5707,1.0572,-0.3724,0
1,264,3.8025,0.6136,1.0629,-0.3672,0
1,265,3.8065,0.6630,1.0685,-0.3621,0
1,266,3.8105,0.7475,1.0740,-0.3571,0
1,267,3.8145,0.8554,1.0793,-0.3524,0
1,268,3.8185,0.9555,1.0841,-0.3481,0
1,269,3.8225,1.0504,1.0883,-0.3444,0
1,270,3.8265,1.1765,1.0919,-0.3414,0
1,271,3.8305,1.3585,1.0946,-0.3392,0
1,272,3.8345,1.5964,1.0963,-0.3380,0
1,273,3.8385,1.8603,1.0970,-0.3379,0
1,274,3.8425,2.0683,1.0964,-0.3390,0
1,275,3.8465,2.1164,1.0947,-0.3412,0
1,276,3.8505,1.9669,1.0918,-0.3446,0
1,277,3.8545,1.6991,1.0878,-0.3492,0
1,278,3.8585,1.4417,1.0827,-0.3549,0
1,279,3.8625,1.2545,1.0765,-0.3616,0
1,280,3.8665,1.1154,1.0696,-0.3690,0
1,281,3.8705,0.9776,1.0619,-0.3772,0
1,282,3.8745,0.8398,1.0538,-0.3859,0
1,283,3.8785,0.7280,1.0453,-0.3950,0
1,284,3.8825,0.6526,1.0366,-0.4042,0
1,285,3.8865,0.5889,1.0279,-0.4134,0
1,286,3.8905,0.5265,1.0193,-0.4225,0
1,287,3.8945,0.4914,1.0110,-0.4314,0
1,288,3.8985,0.5057,1.0030,-0.4399,0
1,289,3.9025,0.5460,0.9954,-0.4480,0
1,290,3.9065,0.5746,0.9882,-0.4558,0
1,291,3.9105,0.6045,0.9815,-0.4630,0
1,292,3.9145,0.6760,0.9751,-0.4699,0
1,293,3.9185,0.7969,0.9691,-0.4765,0
1,294,3.9225,0.9217,0.9634,-0.4827,0
1,295,3.9265,1.0205,0.9580,-0.4887,0
1,296,3.9305,1.1271,0.9527,-0.4944,0
1,297,3.9345,1.3091,0.9477,-0.5001,0
1,298,3.9385,1.5665,0.9427,-0.5056,0
1,299,3.9425,1.7849,0.9379,-0.5109,0
1,300,3.9465,1.8148,0.9332,-0.5162,0
1,301,3.9505,1.6185,0.9287,-0.5212,0
1,302,3.9545,1.3208,0.9244,-0.5260,0
1,303,3.9585,1.0803,0.9205,-0.5304,0
1,304,3.9625,0.9399,0.9171,-0.5343,0
1,305,3.9665,0.8359,0.9144,-0.5376,0
1,306,3.9705,0.7176,0.9123,-0.5402,0
1,307,3.9745,0.5967,0.9112,-0.5418,0
1,308,3.9785,0.5005,0.9111,-0.5425,0
1,309,3.9825,0.4212,0.9121,-0.5420,0
1,310,3.9865,0.3523,0.9144,-0.5403,0
1,311,3.9905,0.3185,0.9179,-0.5373,0
1,312,3.9945,0.3341,0.9227,-0.5331,0
1,313,3.9985,0.3757,0.9287,-0.5275,0
1,314,4.0025,0.4147,0.9360,-0.5208,0
1,315,4.0065,0.4654,0.9443,-0.5131,0
1,316,4.0105,0.5486,0.9535,-0.5044,0
1,317,4.0145,0.6487,0.9634,-0.4950,0
1,318,4.0185,0.7475,0.9739,-0.4850,0
1,319,4.0225,0.8580,0.9847,-0.4748,0
1,320,4.0265,0.9984,0.9955,-0.4645,0
1,321,4.0305,1.1648,1.0061,-0.4544,0
1,322,4.0345,1.3650,1.0164,-0.4447,0
1,323,4.0385,1.6263,1.0260,-0.4356,0
1,324,4.0425,1.9110,1.0348,-0.4273,0
1,325,4.0465,2.0748,1.0427,-0.4200,0
1,326,4.0505,2.0046,1.0495,-0.4137,0
1,327,4.0545,1.7589,1.0552,-0.4086,0
1,328,4.0585,1.5106,1.0597,-0.4046,0
1,329,4.0625,1.3494,1.0631,-0.4018,0
1,330,4.0665,1.2207,1.0653,-0.4001,0
1,331,4.0705,1.0647,1.0664,-0.3995,0
1,332,4.0745,0.9100,1.0665,-0.3999,0
1,333,4.0785,0.8060,1.0658,-0.4012,0
1,334,4.0825,0.7436,1.0642,-0.4033,0
1,335,4.0865,0.6825,1.0619,-0.4061,0
1,336,4.0905,0.6292,1.0590,-0.4096,0
1,337,4.0945,0.6162,1.0555,-0.4136,0
1,338,4.0985,0.6357,1.0515,-0.4181,0
